category,name,status,integration_surface,interface,default,optional_dependencies,notes
community_detection,walktrap,available,experiment_runner_and_clustering_benchmark,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,"('igraph',)",graph_native method with preferred input=graph.
embedding_clustering,kmeans,available,clustering_benchmark_and_embedding_evaluation,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",True,(),embedding_space method with preferred input=embedding.
embedding_clustering,spectral,available,clustering_benchmark_and_embedding_evaluation,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),embedding_space method with preferred input=embedding.
embedding_clustering,agglomerative,available,clustering_benchmark_and_embedding_evaluation,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),embedding_space method with preferred input=embedding.
embedding_clustering,dbscan_or_hdbscan,available,clustering_benchmark_and_embedding_evaluation,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),embedding_space method with preferred input=embedding.
embedding_clustering,gmm,available,clustering_benchmark_and_embedding_evaluation,"cluster_nodes(graph, method, embeddings=None, features=None, ...)",False,(),embedding_space method with preferred input=embedding.
graph_embedding,deepwalk,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",True,(),Random-walk based shallow embeddings using unbiased walks.
graph_embedding,node2vec,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,(),Biased random-walk shallow embeddings.
graph_embedding,line,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,(),First- and second-order proximity embeddings.
graph_embedding,vgae,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,"('torch', 'torch_geometric')",Variational graph autoencoder with a GCN encoder.
graph_embedding,gcn,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,"('torch', 'torch_geometric')",Unsupervised graph autoencoder with a GCN encoder.
graph_embedding,graphsage,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",True,"('torch', 'torch_geometric')",Unsupervised graph autoencoder with a GraphSAGE encoder.
graph_embedding,dgi,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,"('torch', 'torch_geometric')",Deep Graph Infomax self-supervised embeddings.
graph_embedding,graphcl,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,"('torch', 'torch_geometric')",Graph contrastive learning with two augmented views.
graph_embedding,metapath2vec,available,embedding_benchmark,"run_embedding_benchmark(..., methods=[...])",False,"('torch', 'torch_geometric')",Heterogeneous graph embeddings over typed metapaths.
ranking_model,random_forest,available,experiment_runner_ml,"train_node_utility_model(feature_frame, label_frame, budget, model_type=...)",False,(),Random-forest regressor over handcrafted node features.
ranking_model,xgboost,available,experiment_runner_ml,"train_node_utility_model(feature_frame, label_frame, budget, model_type=...)",False,"('xgboost',)",Gradient-boosted tree regressor over handcrafted node features.
ranking_model,mlp,available,experiment_runner_ml,"train_node_utility_model(feature_frame, label_frame, budget, model_type=...)",False,(),Feed-forward MLP regressor over handcrafted node features.
ranking_model,logistic_regression,available,experiment_runner_ml,"train_node_utility_model(feature_frame, label_frame, budget, model_type=...)",False,(),Logistic classifier that ranks nodes by probability of belonging to the top-budget singleton-utility set.
ranking_model,graphsage,available,experiment_runner_ml,"train_gnn_node_utility_model(dataset, feature_frame, label_frame, budget, model_type=...)",False,"('torch', 'torch_geometric')",GraphSAGE regressor used by the GNN ranking backend.
ranking_model,gcn,available,experiment_runner_ml,"train_gnn_node_utility_model(dataset, feature_frame, label_frame, budget, model_type=...)",False,"('torch', 'torch_geometric')",GCN regressor used by the GNN ranking backend.
ranking_model,ris_guidance,available,search_guidance_only,"generate_ris_guidance(dataset, protected_group_report, propagation_probability, config)",False,(),RIS node-coverage prior used for search-time guidance only.
optimization_mode,greedy_local_search,available,hybrid_optimizer,"HybridSIEAOptimizer(..., local_search_steps>0)",False,(),Swap-based local search refinement inside the hybrid optimizer.
optimization_mode,evolutionary_algorithm,available,hybrid_optimizer,"HybridSIEAOptimizer(..., crossover_probability>0, mutation_probability>0)",False,(),"Population-based EA core with crossover, mutation, and repair."
optimization_mode,swarm_intelligence,available,hybrid_optimizer,"HybridSIEAOptimizer(..., disable_swarm_guidance=False)",False,(),Leader-guidance / swarm-style population update component.
optimization_mode,hybrid_siea,available,experiment_runner,method='hybrid_siea',True,(),Unified SI+EA optimizer with repair and local search.
optimization_mode,repair_heuristics,available,hybrid_optimizer,HybridSIEAOptimizer._repair_seed_set(...),False,(),"Repair stage enforces valid, diverse, fairness-aware candidate seed sets."
optimization_mode,swap_local_search,available,hybrid_optimizer,"HybridSIEAOptimizer(..., local_search_swap_trials>0)",False,(),Configurable swap-based neighborhood search.
optimization_mode,full,available,experiment_runner_cli,--optimization-mode full,True,(),Quality-oriented refinement mode.
optimization_mode,balanced,available,experiment_runner_cli,--optimization-mode balanced,False,(),Balanced runtime/quality trade-off.
optimization_mode,fast,available,experiment_runner_cli,--optimization-mode fast,False,(),Runtime-oriented refinement mode.
bias_fairness_control,fairness_first_initialization,available,experiment_runner,--fairness-first-init-enabled,False,(),Weak-group-aware initialization for hybrid search.
bias_fairness_control,worst_group_mutation_boost,available,experiment_runner,--weakest-group-mutation-weight,False,(),Boost mutation and local search toward under-covered groups.
bias_fairness_control,fairness_repair_weighting,available,experiment_runner,--repair-fairness-weight,False,(),Bias repair heuristics toward weak-group support.
bias_fairness_control,urgency_weighting,available,experiment_runner,--urgency-weight-enabled,False,(),Increase guidance weight on currently weak groups.
bias_fairness_control,group_robust_weighting,available,embedding_node_classification,training_mode=group_robust / anti_collapse_group_robust,False,(),"Available in the GraphSAGE fairness training stack, not yet wired into FIM ranking training."
bias_fairness_control,adversarial_debiasing,available,embedding_node_classification,training_mode=anti_collapse_group_robust_with_mild_adversarial,False,(),"Available in the GraphSAGE fairness training stack, not yet wired into FIM ranking training."
bias_fairness_control,class_weighted_loss,not_yet_wired,planned,-,False,(),Not currently exposed in the FIM ranking pipeline.
bias_fairness_control,focal_loss,not_yet_wired,planned,-,False,(),Not currently exposed in the FIM ranking pipeline.
